name,notes
AHRS_TRIM_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
AHRS_TRIM_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
AHRS_TRIM_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
BATT2_ARM_SOC,"Minimum SOC %% required to arm. 0=disabled. Not reset by reboot (uses the pack SOC estimate, unlike ARM_VOLT/ARM_MAH)."
BATT2_CRT_SOC,"Critical-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_CRT_ACT after BATT_LOW_TIMER. 0=disabled. Must be < LOW_SOC or arming fails (soc failsafe critical >= low)."
BATT2_LOW_SOC,"Low-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_LOW_ACT after BATT_LOW_TIMER. 0=disabled. Added in 5fab6c5e26; Seeded in defaults.parm."
BATT3_ARM_SOC,"Minimum SOC %% required to arm. 0=disabled. Not reset by reboot (uses the pack SOC estimate, unlike ARM_VOLT/ARM_MAH)."
BATT3_CRT_SOC,"Critical-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_CRT_ACT after BATT_LOW_TIMER. 0=disabled. Must be < LOW_SOC or arming fails (soc failsafe critical >= low)."
BATT3_LOW_SOC,"Low-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_LOW_ACT after BATT_LOW_TIMER. 0=disabled. Added in 5fab6c5e26; Seeded in defaults.parm."
BATT_ARM_SOC,"Minimum SOC %% required to arm. 0=disabled. Not reset by reboot (uses the pack SOC estimate, unlike ARM_VOLT/ARM_MAH)."
BATT_CRT_SOC,"Critical-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_CRT_ACT after BATT_LOW_TIMER. 0=disabled. Must be < LOW_SOC or arming fails (soc failsafe critical >= low)."
BATT_LOW_SOC,"Low-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_LOW_ACT after BATT_LOW_TIMER. 0=disabled. Added in 5fab6c5e26; NOT seeded in defaults.parm so code default 0 applies."
COMPASS_DIA2_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_DIA2_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_DIA2_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_DIA3_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_DIA3_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_DIA3_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_DIA_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_DIA_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_DIA_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_MOT2_X,NOT SEEDED - compassmot compensation. Device-ID pinning table exists (ArduCopter/xplorer_compass_mot_pinning.h) but xplorer_compass_mot_boot_align() is CURRENTLY COMMENTED OUT in system.cpp (TEMP-COMPASS-EXPERIMENT) | should make false once we fix this on a lower level
COMPASS_MOT2_Y,NOT SEEDED - compassmot compensation. Device-ID pinning table exists (ArduCopter/xplorer_compass_mot_pinning.h) but xplorer_compass_mot_boot_align() is CURRENTLY COMMENTED OUT in system.cpp (TEMP-COMPASS-EXPERIMENT) | should make false once we fix this on a lower level
COMPASS_MOT2_Z,NOT SEEDED - compassmot compensation. Device-ID pinning table exists (ArduCopter/xplorer_compass_mot_pinning.h) but xplorer_compass_mot_boot_align() is CURRENTLY COMMENTED OUT in system.cpp (TEMP-COMPASS-EXPERIMENT) | should make false once we fix this on a lower level
COMPASS_MOT3_X,NOT SEEDED - compassmot compensation. Device-ID pinning table exists (ArduCopter/xplorer_compass_mot_pinning.h) but xplorer_compass_mot_boot_align() is CURRENTLY COMMENTED OUT in system.cpp (TEMP-COMPASS-EXPERIMENT) | should make false once we fix this on a lower level
COMPASS_MOT3_Y,NOT SEEDED - compassmot compensation. Device-ID pinning table exists (ArduCopter/xplorer_compass_mot_pinning.h) but xplorer_compass_mot_boot_align() is CURRENTLY COMMENTED OUT in system.cpp (TEMP-COMPASS-EXPERIMENT) | should make false once we fix this on a lower level
COMPASS_MOT3_Z,NOT SEEDED - compassmot compensation. Device-ID pinning table exists (ArduCopter/xplorer_compass_mot_pinning.h) but xplorer_compass_mot_boot_align() is CURRENTLY COMMENTED OUT in system.cpp (TEMP-COMPASS-EXPERIMENT) | should make false once we fix this on a lower level
